VC_ID	GSO_ID	Name	Type	Location	address	Location notes	Cities	LocZIP	DayName	Time
AH01	[158567][93][28]	Hope Thru Sharing Group	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Sunday	7:30 PM
AH04	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Every day	7:00 AM
AH04A	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Sunday	6:45 AM
AH04B	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Monday	7:00 AM
AH04C	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Tuesday	7:00 AM
AH04D	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Wednesday	7:00 AM
AH04E	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Thursday	7:00 AM
AH04F	[612905][93][28]	Agoura Morning Fellowship	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Friday	7:00 AM
AH04G	[612905][93][28]	Agoura Morning Fellowship	[H][CH][B]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Saturday	7:00 AM
AH05	[179044][93][28]	Welcome Newcomers		Gateway Church	 29646 Agoura Rd		Agoura Hills	91301	Tuesday	6:00 PM
AH09	[677087][93][28]	The Best of the Big Book	[CC][B]	St. Paul Lutheran Church	 30600 Thousand Oaks Blvd		Agoura Hills	91301	Sunday	5:00 PM
AH10	[699068][93][28]	Nitty Gritty Big Book Study	[W][C]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Monday	7:00 PM
AH11	[610737][93][28]	Primary Purpose Group	[H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Tuesday	8:00 PM
AH12		Agoura Pirates Group	[C][M][H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Wednesday	6:30 PM
AH13		Agoura Hills Monday Night Women's Group	[W][H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Monday	5:30 PM
AH27		Last Chance Men's Stag	[M][C]	Gateway Church	 29646 Agoura Rd		Agoura Hills	91301	Monday	6:00 PM
AH28		Agoura Hills Men's Cross Talk	[M][H]	New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Thursday	6:30 PM
AH29		How It Works		New Hope Lutheran Church	 29295 Agoura Rd		Agoura Hills	91301	Friday	5:30 PM
CA01		Calabasas Group of Alcoholis Anonymous		Santa Fe Café Resturant	 5679 Las Virgenes Road		Calabasas	91302	Tuesday	4:00 PM
CM01	[101014][93][12]	Camarillo Discussion Group	[H]	St. Columba's Episcopal Church	 1251 E Los Posas Rd		Camarillo	93010	Thursday	8:00 PM
CM02	[101016][93][12]	Kitchen Table Discussion Grp		Medical Center	 2438 N Ponderosa Dr.	 Bldg E Room 161	Camarillo	93010	Tuesday	7:55 PM
CM03	[118003][93][12]	Kitchen Table Group	[C][H]	United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Monday	8:00 PM
CM04	[119069][93][12]	Women's Discussion Group	[W][C]	St. Columba's Episcopal Church	 1251 E Los Posas Rd		Camarillo	93010	Wednesday	7:00 PM
CM05	[130756][93][12]	As Bill Sees It Group	[C]	Camarillo Church of the Nazarene	 2280 Antonio Avenue		Camarillo	93010	Saturday	9:30 AM
CM06	[131645][93][12]	Beginner's Meeting	[H][CH][B]	St. Columba's Episcopal Church	 1251 E Los Posas Rd		Camarillo	93010	Friday	8:00 PM
CM07	[157391][93][12]	Camarillo Discussion Group	[C]	United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Saturday	8:00 PM
CM09	[610142][93][12]	Noon Discussion Group	[H]	United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Friday	12:00 PM
CM10	[143486][93][12]	Noon Beginners Meeting	[H]	United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Thursday	12:00 PM
CM11	[648844][93][12]	Big Book Study Group		United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Tuesday	12:00 PM
CM12	[629429][93][12]	12 & 12 Step Study	[C]	The Buck	 321 North Aviador St 101		Camarillo	93010	Sunday	7:00 PM
CM13	[630269][93][12]	Discussion Meeting		United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Monday	6:30 PM
CM14	[638998][93][12]	Noon Discussion Group		United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Wednesday	12:00 PM
CM15	[629431][93][12]	Men's Stag	[C][CH][B]	Church of Religious Science	  221 E. Daily Drive		Camarillo	93010	Wednesday	8:00 PM
CM17	[631547][93][12]	Back to Basics	[CC]	Chapel City Church	 2315 Ventura Blvd.		Camarillo	93010	Saturday	10:00 AM
CM18	[177110][93][12]	Noon Discussion Group	[C][H]	United Methodist Church	  291 Anacapa Drive	 (in classroom)	Camarillo	93010	Monday	12:00 PM
CM21	[631550][93][12]	Women's Lunch Bunch	[W][C]	Camarillo Church of the Nazarene	 2280 Antonio Avenue		Camarillo	93010	Thursday	12:00 PM
CM24	[101016][93][12]	Happy Hour Group		Medical Center	 2438 N Ponderosa Dr.	 Bldg E Room 124 In Back	Camarillo	93010	Tuesday	6:00 PM
